Support Library class,Android X class
android.support.content.ContentPager,androidx.contentpager.content.ContentPager
android.support.content.InMemoryCursor,androidx.contentpager.content.InMemoryCursor
android.support.content.LoaderQueryRunner,androidx.contentpager.content.LoaderQueryRunner
android.support.content.Query,androidx.contentpager.content.Query
android.support.coordinatorlayout.R,androidx.coordinatorlayout.R
android.support.customtabs.CustomTabsCallback,androidx.browser.customtabs.CustomTabsCallback
android.support.customtabs.CustomTabsClient,androidx.browser.customtabs.CustomTabsClient
android.support.customtabs.CustomTabsIntent,androidx.browser.customtabs.CustomTabsIntent
android.support.customtabs.CustomTabsService,androidx.browser.customtabs.CustomTabsService
android.support.customtabs.CustomTabsServiceConnection,androidx.browser.customtabs.CustomTabsServiceConnection
android.support.customtabs.CustomTabsSession,androidx.browser.customtabs.CustomTabsSession
android.support.customtabs.CustomTabsSessionToken,androidx.browser.customtabs.CustomTabsSessionToken
android.support.customtabs.ICustomTabsCallback,android.support.customtabs.ICustomTabsCallback
android.support.customtabs.ICustomTabsService,android.support.customtabs.ICustomTabsService
android.support.customtabs.IPostMessageService,android.support.customtabs.IPostMessageService
android.support.customtabs.PostMessageService,androidx.browser.customtabs.PostMessageService
android.support.customtabs.PostMessageServiceConnection,androidx.browser.customtabs.PostMessageServiceConnection
android.support.customtabs.R,androidx.browser.R
android.support.customtabs.TrustedWebUtils,androidx.browser.customtabs.TrustedWebUtils
android.support.graphics.drawable.AndroidResources,androidx.vectordrawable.graphics.drawable.AndroidResources
android.support.graphics.drawable.Animatable2Compat,androidx.vectordrawable.graphics.drawable.Animatable2Compat
android.support.graphics.drawable.AnimatedVectorDrawableCompat,androidx.vectordrawable.graphics.drawable.AnimatedVectorDrawableCompat
android.support.graphics.drawable.AnimationUtilsCompat,androidx.vectordrawable.graphics.drawable.AnimationUtilsCompat
android.support.graphics.drawable.AnimatorInflaterCompat,androidx.vectordrawable.graphics.drawable.AnimatorInflaterCompat
android.support.graphics.drawable.ArgbEvaluator,androidx.vectordrawable.graphics.drawable.ArgbEvaluator
android.support.graphics.drawable.PathInterpolatorCompat,androidx.vectordrawable.graphics.drawable.PathInterpolatorCompat
android.support.graphics.drawable.VectorDrawableCommon,androidx.vectordrawable.graphics.drawable.VectorDrawableCommon
android.support.graphics.drawable.VectorDrawableCompat,androidx.vectordrawable.graphics.drawable.VectorDrawableCompat
android.support.media.ExifInterface,androidx.exifinterface.media.ExifInterface
android.support.media2.BaseRemoteMediaPlayerConnector,android.support.media2.BaseRemoteMediaPlayerConnector
android.support.media2.DataSourceDesc2,android.support.media2.DataSourceDesc2
android.support.media2.MediaPlayerConnector,android.support.media2.MediaPlayerConnector
android.support.media2.MediaPlaylistAgent,android.support.media2.MediaPlaylistAgent
android.support.media2.MediaSession2,android.support.media2.MediaSession2
android.support.mediacompat.R,androidx.media.R
android.support.multidex.MultiDex,androidx.multidex.MultiDex
android.support.multidex.MultiDexApplication,androidx.multidex.MultiDexApplication
android.support.multidex.MultiDexExtractor,androidx.multidex.MultiDexExtractor
android.support.multidex.ZipUtil,androidx.multidex.ZipUtil
android.support.percent.PercentFrameLayout,androidx.percentlayout.widget.PercentFrameLayout
android.support.percent.PercentLayoutHelper,androidx.percentlayout.widget.PercentLayoutHelper
android.support.percent.PercentRelativeLayout,androidx.percentlayout.widget.PercentRelativeLayout
android.support.percent.R,androidx.percentlayout.R
android.support.test.annotation.Beta,androidx.test.annotation.Beta
android.support.test.annotation.UiThreadTest,androidx.test.annotation.UiThreadTest
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat,androidx.core.accessibilityservice.AccessibilityServiceInfoCompat
android.support.v4.app.ActionBarDrawerToggle,androidx.legacy.app.ActionBarDrawerToggle
android.support.v4.app.ActivityCompat,androidx.core.app.ActivityCompat
android.support.v4.app.ActivityManagerCompat,androidx.core.app.ActivityManagerCompat
android.support.v4.app.ActivityOptionsCompat,androidx.core.app.ActivityOptionsCompat
android.support.v4.app.AlarmManagerCompat,androidx.core.app.AlarmManagerCompat
android.support.v4.app.AppComponentFactory,androidx.core.app.AppComponentFactory
android.support.v4.app.AppLaunchChecker,androidx.core.app.AppLaunchChecker
android.support.v4.app.AppOpsManagerCompat,androidx.core.app.AppOpsManagerCompat
android.support.v4.app.BackStackRecord,androidx.fragment.app.BackStackRecord
android.support.v4.app.BackStackState,androidx.fragment.app.BackStackState
android.support.v4.app.BundleCompat,androidx.core.app.BundleCompat
android.support.v4.app.CoreComponentFactory,androidx.core.app.CoreComponentFactory
android.support.v4.app.DialogFragment,androidx.fragment.app.DialogFragment
android.support.v4.app.Fragment,androidx.fragment.app.Fragment
android.support.v4.app.FragmentActivity,androidx.fragment.app.FragmentActivity
android.support.v4.app.FragmentContainer,androidx.fragment.app.FragmentContainer
android.support.v4.app.FragmentController,androidx.fragment.app.FragmentController
android.support.v4.app.FragmentHostCallback,androidx.fragment.app.FragmentHostCallback
android.support.v4.app.FragmentManager,androidx.fragment.app.FragmentManager
android.support.v4.app.FragmentManagerImpl,androidx.fragment.app.FragmentManagerImpl
android.support.v4.app.FragmentManagerNonConfig,androidx.fragment.app.FragmentManagerNonConfig
android.support.v4.app.FragmentManagerState,androidx.fragment.app.FragmentManagerState
android.support.v4.app.FragmentPagerAdapter,androidx.fragment.app.FragmentPagerAdapter
android.support.v4.app.FragmentState,androidx.fragment.app.FragmentState
android.support.v4.app.FragmentStatePagerAdapter,androidx.fragment.app.FragmentStatePagerAdapter
android.support.v4.app.FragmentTabHost,androidx.fragment.app.FragmentTabHost
android.support.v4.app.FragmentTransaction,androidx.fragment.app.FragmentTransaction
android.support.v4.app.FragmentTransition,androidx.fragment.app.FragmentTransition
android.support.v4.app.FragmentTransitionCompat21,androidx.fragment.app.FragmentTransitionCompat21
android.support.v4.app.FragmentTransitionImpl,androidx.fragment.app.FragmentTransitionImpl
android.support.v4.app.FrameMetricsAggregator,androidx.core.app.FrameMetricsAggregator
android.support.v4.app.INotificationSideChannel,androidx.core.app.INotificationSideChannel
android.support.v4.app.JobIntentService,androidx.core.app.JobIntentService
android.support.v4.app.ListFragment,androidx.fragment.app.ListFragment
android.support.v4.app.LoaderManager,androidx.loader.app.LoaderManager
android.support.v4.app.LoaderManagerImpl,androidx.loader.app.LoaderManagerImpl
android.support.v4.app.NavUtils,androidx.core.app.NavUtils
android.support.v4.app.NotificationBuilderWithBuilderAccessor,androidx.core.app.NotificationBuilderWithBuilderAccessor
android.support.v4.app.NotificationCompat,androidx.core.app.NotificationCompat
android.support.v4.app.NotificationCompatBuilder,androidx.core.app.NotificationCompatBuilder
android.support.v4.app.NotificationCompatExtras,androidx.core.app.NotificationCompatExtras
android.support.v4.app.NotificationCompatJellybean,androidx.core.app.NotificationCompatJellybean
android.support.v4.app.NotificationCompatSideChannelService,androidx.core.app.NotificationCompatSideChannelService
android.support.v4.app.NotificationManagerCompat,androidx.core.app.NotificationManagerCompat
android.support.v4.app.OneShotPreDrawListener,androidx.fragment.app.OneShotPreDrawListener
android.support.v4.app.Person,androidx.core.app.Person
android.support.v4.app.RemoteInput,androidx.core.app.RemoteInput
android.support.v4.app.ServiceCompat,androidx.core.app.ServiceCompat
android.support.v4.app.ShareCompat,androidx.core.app.ShareCompat
android.support.v4.app.SharedElementCallback,androidx.core.app.SharedElementCallback
android.support.v4.app.SuperNotCalledException,androidx.fragment.app.SuperNotCalledException
android.support.v4.app.SupportActivity,androidx.core.app.ComponentActivity
android.support.v4.app.TaskStackBuilder,androidx.core.app.TaskStackBuilder
android.support.v4.content.AsyncTaskLoader,androidx.loader.content.AsyncTaskLoader
android.support.v4.content.ContentResolverCompat,androidx.core.content.ContentResolverCompat
android.support.v4.content.ContextCompat,androidx.core.content.ContextCompat
android.support.v4.content.CursorLoader,androidx.loader.content.CursorLoader
android.support.v4.content.FileProvider,androidx.core.content.FileProvider
android.support.v4.content.IntentCompat,androidx.core.content.IntentCompat
android.support.v4.content.Loader,androidx.loader.content.Loader
android.support.v4.content.LocalBroadcastManager,androidx.localbroadcastmanager.content.LocalBroadcastManager
android.support.v4.content.MimeTypeFilter,androidx.core.content.MimeTypeFilter
android.support.v4.content.ModernAsyncTask,androidx.loader.content.ModernAsyncTask
android.support.v4.content.PermissionChecker,androidx.core.content.PermissionChecker
android.support.v4.content.pm.ActivityInfoCompat,androidx.core.content.pm.ActivityInfoCompat
android.support.v4.content.pm.PackageInfoCompat,androidx.core.content.pm.PackageInfoCompat
android.support.v4.content.pm.PermissionInfoCompat,androidx.core.content.pm.PermissionInfoCompat
android.support.v4.content.pm.ShortcutInfoCompat,androidx.core.content.pm.ShortcutInfoCompat
android.support.v4.content.pm.ShortcutManagerCompat,androidx.core.content.pm.ShortcutManagerCompat
android.support.v4.content.res.ColorStateListInflaterCompat,androidx.core.content.res.ColorStateListInflaterCompat
android.support.v4.content.res.ComplexColorCompat,androidx.core.content.res.ComplexColorCompat
android.support.v4.content.res.ConfigurationHelper,androidx.core.content.res.ConfigurationHelper
android.support.v4.content.res.FontResourcesParserCompat,androidx.core.content.res.FontResourcesParserCompat
android.support.v4.content.res.GradientColorInflaterCompat,androidx.core.content.res.GradientColorInflaterCompat
android.support.v4.content.res.GrowingArrayUtils,androidx.core.content.res.GrowingArrayUtils
android.support.v4.content.res.ResourcesCompat,androidx.core.content.res.ResourcesCompat
android.support.v4.content.res.TypedArrayUtils,androidx.core.content.res.TypedArrayUtils
android.support.v4.content.SharedPreferencesCompat,androidx.core.content.SharedPreferencesCompat
android.support.v4.content.WakefulBroadcastReceiver,androidx.legacy.content.WakefulBroadcastReceiver
android.support.v4.database.CursorWindowCompat,androidx.core.database.CursorWindowCompat
android.support.v4.database.DatabaseUtilsCompat,androidx.core.database.DatabaseUtilsCompat
android.support.v4.database.sqlite.SQLiteCursorCompat,androidx.core.database.sqlite.SQLiteCursorCompat
android.support.v4.graphics.BitmapCompat,androidx.core.graphics.BitmapCompat
android.support.v4.graphics.ColorUtils,androidx.core.graphics.ColorUtils
android.support.v4.graphics.drawable.DrawableCompat,androidx.core.graphics.drawable.DrawableCompat
android.support.v4.graphics.drawable.IconCompat,androidx.core.graphics.drawable.IconCompat
android.support.v4.graphics.drawable.IconCompatParcelizer,android.support.v4.graphics.drawable.IconCompatParcelizer
android.support.v4.graphics.drawable.RoundedBitmapDrawable,androidx.core.graphics.drawable.RoundedBitmapDrawable
android.support.v4.graphics.drawable.RoundedBitmapDrawable21,androidx.core.graphics.drawable.RoundedBitmapDrawable21
android.support.v4.graphics.drawable.RoundedBitmapDrawableFactory,androidx.core.graphics.drawable.RoundedBitmapDrawableFactory
android.support.v4.graphics.drawable.TintAwareDrawable,androidx.core.graphics.drawable.TintAwareDrawable
android.support.v4.graphics.drawable.WrappedDrawable,androidx.core.graphics.drawable.WrappedDrawable
android.support.v4.graphics.drawable.WrappedDrawableApi14,androidx.core.graphics.drawable.WrappedDrawableApi14
android.support.v4.graphics.drawable.WrappedDrawableApi21,androidx.core.graphics.drawable.WrappedDrawableApi21
android.support.v4.graphics.PaintCompat,androidx.core.graphics.PaintCompat
android.support.v4.graphics.PathParser,androidx.core.graphics.PathParser
android.support.v4.graphics.PathSegment,androidx.core.graphics.PathSegment
android.support.v4.graphics.PathUtils,androidx.core.graphics.PathUtils
android.support.v4.graphics.TypefaceCompat,androidx.core.graphics.TypefaceCompat
android.support.v4.graphics.TypefaceCompatApi21Impl,androidx.core.graphics.TypefaceCompatApi21Impl
android.support.v4.graphics.TypefaceCompatApi24Impl,androidx.core.graphics.TypefaceCompatApi24Impl
android.support.v4.graphics.TypefaceCompatApi26Impl,androidx.core.graphics.TypefaceCompatApi26Impl
android.support.v4.graphics.TypefaceCompatApi28Impl,androidx.core.graphics.TypefaceCompatApi28Impl
android.support.v4.graphics.TypefaceCompatBaseImpl,androidx.core.graphics.TypefaceCompatBaseImpl
android.support.v4.graphics.TypefaceCompatUtil,androidx.core.graphics.TypefaceCompatUtil
android.support.v4.hardware.display.DisplayManagerCompat,androidx.core.hardware.display.DisplayManagerCompat
android.support.v4.hardware.fingerprint.FingerprintManagerCompat,androidx.core.hardware.fingerprint.FingerprintManagerCompat
android.support.v4.internal.view.SupportMenu,androidx.core.internal.view.SupportMenu
android.support.v4.internal.view.SupportMenuItem,androidx.core.internal.view.SupportMenuItem
android.support.v4.internal.view.SupportSubMenu,androidx.core.internal.view.SupportSubMenu
android.support.v4.math.MathUtils,androidx.core.math.MathUtils
android.support.v4.media.app.NotificationCompat,androidx.media.app.NotificationCompat
android.support.v4.media.AudioAttributesCompat,androidx.media.AudioAttributesCompat
android.support.v4.media.AudioAttributesImpl,android.support.v4.media.AudioAttributesImpl
android.support.v4.media.AudioAttributesImplApi21,android.support.v4.media.AudioAttributesImplApi21
android.support.v4.media.AudioAttributesImplBase,android.support.v4.media.AudioAttributesImplBase
android.support.v4.media.MediaBrowserCompat,android.support.v4.media.MediaBrowserCompat
android.support.v4.media.MediaBrowserCompatApi21,android.support.v4.media.MediaBrowserCompatApi21
android.support.v4.media.MediaBrowserCompatApi23,android.support.v4.media.MediaBrowserCompatApi23
android.support.v4.media.MediaBrowserCompatApi26,android.support.v4.media.MediaBrowserCompatApi26
android.support.v4.media.MediaBrowserCompatUtils,androidx.media.MediaBrowserCompatUtils
android.support.v4.media.MediaBrowserProtocol,androidx.media.MediaBrowserProtocol
android.support.v4.media.MediaBrowserServiceCompat,androidx.media.MediaBrowserServiceCompat
android.support.v4.media.MediaBrowserServiceCompatApi21,androidx.media.MediaBrowserServiceCompatApi21
android.support.v4.media.MediaBrowserServiceCompatApi23,androidx.media.MediaBrowserServiceCompatApi23
android.support.v4.media.MediaBrowserServiceCompatApi26,androidx.media.MediaBrowserServiceCompatApi26
android.support.v4.media.MediaDescriptionCompat,android.support.v4.media.MediaDescriptionCompat
android.support.v4.media.MediaDescriptionCompatApi21,android.support.v4.media.MediaDescriptionCompatApi21
android.support.v4.media.MediaDescriptionCompatApi23,android.support.v4.media.MediaDescriptionCompatApi23
android.support.v4.media.MediaMetadataCompat,android.support.v4.media.MediaMetadataCompat
android.support.v4.media.MediaMetadataCompatApi21,android.support.v4.media.MediaMetadataCompatApi21
android.support.v4.media.MediaSessionManager,android.support.v4.media.MediaSessionManager
android.support.v4.media.MediaSessionManagerImplApi21,android.support.v4.media.MediaSessionManagerImplApi21
android.support.v4.media.MediaSessionManagerImplApi28,android.support.v4.media.MediaSessionManagerImplApi28
android.support.v4.media.MediaSessionManagerImplBase,android.support.v4.media.MediaSessionManagerImplBase
android.support.v4.media.ParceledListSliceAdapterApi21,android.support.v4.media.ParceledListSliceAdapterApi21
android.support.v4.media.RatingCompat,android.support.v4.media.RatingCompat
android.support.v4.media.session.IMediaControllerCallback,android.support.v4.media.session.IMediaControllerCallback
android.support.v4.media.session.IMediaSession,android.support.v4.media.session.IMediaSession
android.support.v4.media.session.MediaButtonReceiver,androidx.media.session.MediaButtonReceiver
android.support.v4.media.session.MediaControllerCompat,android.support.v4.media.session.MediaControllerCompat
android.support.v4.media.session.MediaControllerCompatApi21,android.support.v4.media.session.MediaControllerCompatApi21
android.support.v4.media.session.MediaControllerCompatApi23,android.support.v4.media.session.MediaControllerCompatApi23
android.support.v4.media.session.MediaControllerCompatApi24,android.support.v4.media.session.MediaControllerCompatApi24
android.support.v4.media.session.MediaSessionCompat,android.support.v4.media.session.MediaSessionCompat
android.support.v4.media.session.MediaSessionCompatApi21,android.support.v4.media.session.MediaSessionCompatApi21
android.support.v4.media.session.MediaSessionCompatApi22,android.support.v4.media.session.MediaSessionCompatApi22
android.support.v4.media.session.MediaSessionCompatApi23,android.support.v4.media.session.MediaSessionCompatApi23
android.support.v4.media.session.MediaSessionCompatApi24,android.support.v4.media.session.MediaSessionCompatApi24
